"Name","PackageFullName","DisplayName","DisplayVersion","Publisher","InstallDate","IsFramework","IsResourcePackage","InstallLocation","UserSid"
"Microsoft.MicrosoftEdgeDevToolsClient","Microsoft.MicrosoftEdgeDevToolsClient_1000.25128.1000.0_neutral_neutral_8wekyb3d8bbwe","Microsoft.MicrosoftEdgeDevToolsClient","1000.25128.1000.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.MicrosoftEdgeDevToolsClient_8wekyb3d8bbwe",
"Microsoft.MicrosoftOfficeHub","Microsoft.MicrosoftOfficeHub_19.2512.39051.0_x64__8wekyb3d8bbwe","Microsoft.MicrosoftOfficeHub","19.2512.39051.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2512.39051.0_x64__8wekyb3d8bbwe",
"Microsoft.MicrosoftPowerBIDesktop","Microsoft.MicrosoftPowerBIDesktop_2.149.1429.0_x64__8wekyb3d8bbwe","Microsoft.MicrosoftPowerBIDesktop","2.149.1429.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.MicrosoftPowerBIDesktop_2.149.1429.0_x64__8wekyb3d8bbwe",
"Microsoft.MicrosoftStickyNotes","Microsoft.MicrosoftStickyNotes_6.1.4.0_x64__8wekyb3d8bbwe","Microsoft.MicrosoftStickyNotes","6.1.4.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_6.1.4.0_x64__8wekyb3d8bbwe",
"Microsoft.MixedReality.Portal","Microsoft.MixedReality.Portal_2000.21051.1282.0_x64__8wekyb3d8bbwe","Microsoft.MixedReality.Portal","2000.21051.1282.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.MixedReality.Portal_2000.21051.1282.0_x64__8wekyb3d8bbwe",
"Microsoft.MPEG2VideoExtension","Microsoft.MPEG2VideoExtension_1.2.13.0_x64__8wekyb3d8bbwe","Microsoft.MPEG2VideoExtension","1.2.13.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.MPEG2VideoExtension_1.2.13.0_x64__8wekyb3d8bbwe",
"Microsoft.MsixPackagingTool","Microsoft.MSIXPackagingTool_1.2024.405.0_x64__8wekyb3d8bbwe","Microsoft.MsixPackagingTool","1.2024.405.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.MSIXPackagingTool_1.2024.405.0_x64__8wekyb3d8bbwe",
"Microsoft.Office.ActionsServer","Microsoft.Office.ActionsServer_16.0.19426.20186_neutral__8wekyb3d8bbwe","Microsoft.Office.ActionsServer","16.0.19426.20186","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.Office.ActionsServer_16.0.19426.20186_neutral__8wekyb3d8bbwe",
"Microsoft.Office.OneNote","Microsoft.Office.OneNote_16001.14326.22594.0_x64__8wekyb3d8bbwe","Microsoft.Office.OneNote","16001.14326.22594.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.Office.OneNote_16001.14326.22594.0_x64__8wekyb3d8bbwe",
"Microsoft.Office.OneNoteVirtualPrinter","Microsoft.Office.OneNoteVirtualPrinter_1.0.0.0_x64__8wekyb3d8bbwe","Microsoft.Office.OneNoteVirtualPrinter","1.0.0.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.Office.OneNoteVirtualPrinter_1.0.0.0_x64__8wekyb3d8bbwe",
